DIST_CODE,DIST_NAME,DIST_ID
AA,Select District,0
BH,Bagerhat,33
BN,Bandarban,23
BG,Barguna,64
BS,Barisal,59
BL,Bhola,80
BO,Bogra,57
BB,Brahmanbaria,27
CP,Chandpur,26
CT,Chittagong,20
CD,Chuadanga,40
CM,Comilla,25
CB,Cox's Bazar,21
DH,Dhaka,2
DJ,Dinajpur,52
FR,Faridpur,15
FN,Feni,30
GB,Gaibandha,48
GZ,Gazipur,4
GG,Gopalganj,16
HA,Habiganj,66
JP,Jaipurhat,58
JM,Jamalpur,14
JS,Jessore,35
JK,Jhalakati,60
JN,Jhenaidah,37
KG,Khagrachari,24
KL,Khulna,32
KS,Kishoreganj,11
KR,Kurigram,50
KU,Kushtia,39
LK,Lakshmipur,29
LL,Lalmonirhat,51
MD,Madaripur,17
MG,Magura,36
MK,Manikganj,5
ME,Meherpur,41
MB,Moulvibazar,68
MU,Munshiganj,6
MM,Mymensingh,8
NA,Naogaon,45
NR,Narail,38
NY,Narayanganj,3
NS,Narsingdi,7
NT,Natore,46
NW,Nawabganj,44
NK,Netrakona,12
NP,Nilphamari,49
NO,Noakhali,28
PB,Pabna,55
PN,Panchagarh,54
PT,Patuakhali,62
PR,Pirojpur,63
RB,Rajbari,18
RS,Rajshahi,43
RP,Rangpur,47
ST,Satkhira,34
SA,Shariatpur,9
SP,Sherpur,13
SR,Sirajganj,56
SN,Sunamganj,67
SL,Sylhet,65
TA,Tangail,10
TH,Thakurgaon,53
RG,Rangamati,22
BA,BAIRA,1
